title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Fly,rb,Danielle Apicella,2021,147,{},"[Pre-Chorus]
Sitting on a mountain top, looking all over the world
And I be telling myself that I ain't a regular girl
In my mind, when I jump, I crashed and burned like a thousand times
But I know my purpose on the other side
Yeah, yeah, yeah, yeah

[Chorus]
I don't wanna fly, I don't wanna fly
I don't wanna fly, I don't wanna fly
I don't wanna fly, I don't wanna fly
I don't wanna fly, I don't wanna fly

[Verse]
'Cause I feel God every time I'm on the mountain top, but I know the devil's right behind Him
That's just how I feel
You can't tell me that my fears aren't real
Maybe you feel it too
Maybe you feel the truth
Maybe the condition of your heart is critical
So hold my hand
I can understand
Well, if we fall, may we fall togеther
But when we fly, wе gon' fly forever
So take a chance
I bet you'll never land, no
[Pre-Chorus]
Sitting on a mountain top, looking all over the world
And I be telling myself that I ain't a regular girl
In my mind, when I jump, I crashed and burned like a thousand times
But I know my purpose on the other side
Oh

[Chorus]
I just wanna fly, I just wanna fly, oh
Oh, I just wanna fly, I just wanna fly, oh
I just wanna fly, I just wanna fly, oh
Oh, I just wanna fly, I just wanna fly",6922273,en,en,en
Rap God Brian Version,rap,BrianMC,2013,16,"{""Lil Jack""}","Brians back with a brand new track
Get ready
Here we go
My name's Brian, I like frying...
Chips on the grill
With my girl
Chantelle
She is the best
When she's undressed
I like to touch her on the breast
One time we got arrest..
Ed for human trafficing
Now them b***** hating on the rap game
Cuase we sell them
For fun
Move the traficker
Call it traficking
Young Brian Baby",272492,en,en,en
Im Comin Home,pop,Robert Earl Keen,1994,343,{},"Packed my suitcase, I racked my brain
I bought a ticket on the late night train
Took a taxi through the pourin' rain
I'm comin' home to you

Flew from Boston out to San Jose
Saw our old friends in Monterey Bay
When they asked me if I'd like to stay, I said
I'm comin' home to you

I'm comin' home
Made up my mind that's what I'm gonna do
Can't love nobody on the telephone
I'm comin' home to you

They threw a party there from dusk till' dawn
Seems like everybody knows ol' Sleepy John
He says next time I down here, bring you along
I'm comin' home to you

There's fresh caught salmon on the bar-b-q's
There were people jammin' to the all nite blues
Life is good out in Santa Cruz, but
I'm comin' home to you
I'm comin' home
Made up my mind that's what I'm gonna do
Can't love nobody on the telephone
I'm comin' home to you

I drove wherever -- out to god knows where
Come 10:30 there was no one there
They couldn't pay me, but I didn't care
I'm comin' home to you

I'm feelin' better since I got your card
I read it over and over when the road gets hard
Ain't nothin' better than your own backyard
I'm comin' home to you

I'm comin' home
Made up my mind that's what I'm gonna do
Can't love nobody on the telephone
I'm comin' home to you

I'm comin' home
Made up my mind that's what I'm gonna do
Can't love nobody on the telephone
I'm comin' home to you

Packed my suitcase, I racked my brain
I bought a ticket on the late night train
Took a taxi through the pourin' rain",1062758,en,en,en
Aint Goin Back Remix,rap,RealRose,2019,26,{},"[Chorus]

I ain't goin lie (I ain't goin lie)
A lot of you got it coming
I ain't goin lie (I ain't goin lie)
I'm still far from me buzzing
I ain't goin lie (I ain't goin lie)
I'm not the type to be loving
I ain't goin lie (I ain't goin lie)
I always keep it a hunnid

I ain't goin lie (I ain't goin lie)
A lot of you got it coming
I ain't goin lie (I ain't goin lie)
I'm still far from me buzzing
I ain't goin lie (I ain't goin lie)
I'm not the type to be loving
I ain't goin lie (I ain't goin lie)
I always keep it a hunnid

[Verse 1]
Honestly, better than most of yall
Close your jaw
Folks is awe
Toast to God
Close to be ghost but saw
The most in moi
Please, pardon my French, but fuck your call
Hope you all ball like you say you are
Pray you are
Lot of people change if the cash go away
By the way you the same motherfuckers that I can't involve
On the way to the top
Stay in my lane, I don't stop for no one
Aim for the fame
Drop number ones
Prey on my name like a saint, in a way that's what you do become
Knew to get funds before I could run
Momma would pray we had something for lunch
How you goin say that you straight from the trap, but you daddy be paying for stunts

[Chorus]

I ain't goin lie (I ain't goin lie)
A lot of you got it coming
I ain't goin lie (I ain't goin lie)
I'm still far from me buzzing
I ain't goin lie (I ain't goin lie)
I'm not the type to be loving
I ain't goin lie (I ain't goin lie)
I always keep it a hunnid

I ain't goin lie (I ain't goin lie)
A lot of you got it coming
I ain't goin lie (I ain't goin lie)
I'm still far from me buzzing
I ain't goin lie (I ain't goin lie)
I'm not the type to be loving
I ain't goin lie (I ain't goin lie)
I always keep it a hunnid

[Verse 2]

Not into card games
The chips on the table I bet on my self, always
Stay with a poker face, these days
To many of you be announcing your plans beforehand
Raising the stakes on your own plan
You flex on 'gram
I'm figuring out how to add me in to the end of nominee list for the best in the game
Got to stay humble
I know my place
Don't hop the wave
Stay in my lane
Don't crash
Wash up like a plank from the ship we all know as relation
Leverage yourself
Every occasion you got or get treated expendable
The industry ain't that commendable
[Chorus]


I ain't goin lie (I ain't goin lie)
A lot of you got it coming
I ain't goin lie (I ain't goin lie)
I'm still far from me buzzing
I ain't goin lie (I ain't goin lie)
I'm not the type to be loving
I ain't goin lie (I ain't goin lie)
I always keep it a hunnid


I ain't goin lie (I ain't goin lie)
A lot of you got it coming
I ain't goin lie (I ain't goin lie)
I'm still far from me buzzing
I ain't goin lie (I ain't goin lie)
I'm not the type to be loving
I ain't goin lie (I ain't goin lie)
I always keep it a hunnid",4582341,en,en,en
The Planet Is Doomed,rap,Kool A.D.,2019,14,{},"Yea, ya'll, and you don't stop
Kool A.D. hunnid dollar freestyle, real hiphop, whatever
Yo, abstract, yes ya'll, et cetera, wow
Hey yo the planet is doomed, but ya'll knew that
Men is a violent beast
Yo, we never outgrew that
Men is why we can't have nice things, yo, too bad
It's the truth, the sad truth, yo, it's too sad
It's like the only fuckin' thing that we can do is fuckin' do bad
Nah, we never do good, even when we do good, we ain't too good
It's like we never even fuckin' knew good
Damn it's a shame, it's a damn shame, sippin' on champagne
Aretha just trippin' off the sad facts of life
Screamin' existential crisis over a funky beat
Like Ray say you're rollin' like Trump you're gonna [?]
College educated, but I'm from the street Hunter's Point
Shout to Alameda, though
I'm too Dum Shiny
In gettin' in tune with the universe
Time is a loop the loop
Ode to my various destinies
A multitude
I'm blessin' these mics like a Pope would
Smokin' dope in the dope good
It's the wild combination
Spiritual geometry
Please don't snitch and don't cop a plea
Yo, donate to bail funds, pay it forth, karmically
Armed police, arm yourself, don't pay taxes
Homeschool your children and co-ops if possible
Tic-toc, the clock go countin' down to seconds to inevitable disaster
Anarchy, anarchy
Never no masters, overstand your own hypocrisy and privilege
Yea, you made mistakes now live with it
Bake a cake for a kid, give it to him on his birthday
Never fuckin' listen what the church say
They just tryin' to fill the collection plate
Morality's an ongoing conversation
Breathe in the mystical, magical, cosmic, Allah, jah, prophet Muhammad, X-Box, kicks, [?], bomb shit
Abstract, abstract, live up the spiritual miracles, metaphorical
Him 'em with the 44 magnum, Holy Ghost
Toast the holiest
Toast to [?]
Life be forever but death be forever too
Infinite, infinite
The trill infinity, Jimminy Cricket
See the kick spit to Pinocchio
I mean Pinocchio, [?]
[?]
Rope-a-dope
Like young Cassius
Meet me at the bank
Case is there
I'm where the cash be at
Rock in a swank ski mask bitch
Pistol whip until he look like fat lip
Voodoo, hoodoo outer space
Psychedelic
Abstract abstract whatever, yo
Hunnid dollar freestyle",4529165,en,en,en
Rut,pop,Mumrunner,2014,20,{},"I asked around what do i find
In the darkest corners of this room
There you lay
You're passed out just like you are
Just like you always are

I carried you into the night
My legs are feeling quite heavy
But i must take you home
So you can wake up early",5434494,en,en,en
​t r a n s p a r e n t s o u l Remix,rock,WILLOW,2021,3782,"{""Kid Cudi"",""Travis Barker""}","[Intro: WILLOW & Kid Cudi]
One, two, three, four
Na-na-na-na, na-na, na-na
Na-na-na-na

[Verse 1: WILLOW]
I don't fucking know if it's a lie or it's a fact
All your little fake friends will sell your secrets for some cash (Hey, hey)
Smile in my face, then put your cig out on my back
If you ever see me, just get to runnin' like the Flash

[Pre-Chorus 1: WILLOW]
I knew a boy just like you
He's a snake just like you
Such a fake just like you
But I can see the truth

[Chorus: WILLOW]
Transparent soul
I can see right through, just so you know
Transparent soul
I can see right through, just so you know
[Bridge: Kid Cudi]
Na-na-na-na, na-na, na-na
Hmm-mm, mm-mm

[Verse 2: Kid Cudi with WILLOW]
I know you're not my enemy (Ah)
In my world, there's moments seein' through the different lies (Yeah)
It's all of diminishing
But come on, you know that I'ma try to make it right
All I want is the real, baby
Oh, you want the same things
Say to me, try, just Pharisee
Don't wear the mask, I see through your eyes
Yeah, you know me, lost boy, the lonely
Fire envy burn through the night
I will show you soon, you'll be believing
See through my soul, baby, let me burn ya
Now you got your wings
And y'all don't know my secrets, you always know
Put it all behind, know I cannot run and hide
Oh, oh (Ooh, ooh)

[Bridge: WILLOW]
It's clear to me now
You're scared of me, wow
It's clear to me now (Transparent soul)
It's clear to me now
You're scared of me, wow
It's clear to me now (Transparent soul)
[Chorus: WILLOW and Kid Cudi]
Transparent soul
I can see right through, just so you know
Transparent soul
I can see right through, just so you know",7402191,en,en,en
I Cant Get Over You,country,Brooks & Dunn,1999,708,{},"[Verse 1]
I forget where I'm going in my own house
I got myself in this, I'll get myself out
I talk out loud, at the top of my voice I sing
Whoa keep the faith, see what tomorrow brings

[Chorus]
I can't get over you
Try as I may oh it no use
My heart just can't leave you alone
My mind won't believe you're gone
I can't get over you

[Verse 2]
I got a front row seat here to a fool's masquerade
And that fool in the mirror keeps saying I'm doing OK
I stare at that door that you walked out
It hits me hard and leaves no doubt

[Chorus][x2]",647855,en,en,en
​timekeeper,pop,Greyson Chance,2019,12071,{},"[Chorus]
Remember that feel of my hands running through your hair on your bedroom floor
Caught in the thrill of a life spending cash on shit that we can't afford
No, this ain’t the end, no, I'm not dissuaded by your demeanor
And if you forget, the memories fade, I'll be your timekeeper
’Cause I want you more, more, more

[Post-Chorus]
Ooh, ooh, baby
Ooh, ooh, baby
More, more, more
Ooh, ooh, baby
Ooh, ooh, baby

[Verse 1]
Show you that first date at the ramen place
When I picked you up late, we were happy that day
You told me 'bout your family, how they hate all your decisions
But you never felt it heavy, and you still had vision
Show you that first night when we just had sex
When your eyes rolled back to the back of your head
But now you're so damn mean, is it a cultural thing?
Guess that you forgot that night when you called me a dream, heavy
[Pre-Chorus]
And you cannot even tell me what's the reason
But you're addicted to a loneliness, that feeling
(Those flowers didn't help, huh?)
You say it's in your head, you blamed the seasons
(Shit, I hate this cold, too)
But you're addicted to a sadness, to that feeling
(Whatever, just stay on your phone)

[Chorus]
Remember that feel of my hands running through your hair on your bedroom floor
Caught in the thrill of a life spending cash on shit that we can’t afford
No, this ain’t the end, no, I'm not dissuaded by your demeanor
And if you forget, the memories fade, I’ll be your timekeeper
'Cause I want you more, more, more

[Post-Chorus]
Ooh, ooh, baby
Ooh, ooh, baby (I want you)
More, more, more
Ooh, ooh, baby (Oh)
Ooh, ooh, baby

[Verse 2]
Show you that first fight at Hodges Bend
When we talked it all out, sealed it up in a kiss
But then you had another drink, said you could not feel it
'Til you threw that glass at me, when you saw I looked at him (Fuck)
Jealousy is quite a bitch, and you thought that I was joking when I offered the hitch
I don't need all the memories to know we’re A-team
And if you can't see that, then fucking leave, babe
[Pre-Chorus]
You can't even tell me what's the reason
(Goodbye, RK)
But you're addicted to a loneliness, that feeling
(Guess I'll see you another day)
You say it's in your head, you blamed the seasons
(And to RB, too)
But you're addicted to a sadness, to that feeling
(Just keep that focus on you)

[Chorus]
Remember that feel of my hands running through your hair on your bedroom floor
Caught in the thrill of a life spending cash on shit that we can't afford
No, this ain't the end, no, I'm not dissuaded by your demeanor
And if you forget, the memories fade, I'll be your timekeeper
'Cause I want you more, more, more
Mmm, baby, I want you more",4271950,en,en,en
No Hook No Reality,rap,Yung Zyrex,2020,42,{},"[Intro]
Yung Zyrex
Yeah
Damn this an Elijah Skater Beat?
I’m finna snap on this beat
I’m finna snap on this beat
Let the beat ride
Let the beat ride
Let the beat go
Yeah
Okay
Okay
Okay
Aye
Haha you thought I was finna start rapping didn’t you?
Okay
Okay
For real this time
I’m finna go
Ready, set, go
[Verse]
I’m a real G like my name is Mike
One in yo head like you was on Skype
All these fuck niggas wanna take my life
Strapped like the Navy, got dicks like a dyke
That nigga a clone, that nigga a follower
Look like a white school shooter named Oliver
Every once in a while might bop with you, no stupid bitch, I do not rock with you
She suck on my dick like it’s a popsicle
Snatching my chain, that shit is impossible
I'm finna pop that nigga like a cork
Just like Arby’s we got the meats
We got the meats, the under-cooked pork
He ate the pork with a dirty fork
Now he got his ass e-coli
E-coli dangerous like Danielle Bregoli
Turn you into cheese like macaroni
Nigga weak as fuck
Nigga straight bony
Stay talking tough but you really a phony
He’s a girly nigga, My Little Pony
I keep a stick like I’m Master Roshi
Said you got bands nigga, better show me
Gave him a loan now that nigga owe me
I been a real nigga since 03’
Hit 50k that’s a celebration
Open up wide my dick like a nation
I just fucked that bitch, she was on her side
But I thought her name was Nation Wide
I got a stick but no Harry Potter
I take yo bitch she look like an otter
She on the Internet call me her father
Why you clout chasing? Bitch don’t even bother
He live in Montana like his name is Hannah
I caught him slipping on a banana
Like Tay-K I’m finna lay low
You are childish, still play with Play-dough
Fuck you bitch, suck on my big toe, my diamonds they splashing, like I made a free throw
Fuck guns, you get hit with a crossbow
There’s a lot of niggas I’m finna outgrow
My bitch better than Marilyn Monroe
I’m robbing yo shit so I gotta tip toe
You know I’m a wild one just like a buffalo
Knock you to the ground you is a domino
Kissing yo bitch under the mistletoe
She is my Juliet I am her Romeo
Nigga stop capping, you look like Pinocchio
Got so much money my wallet on overflow
Sucking it sloppy like it is Sloppy Joe
Bitch I am done, this song is not over though
You finna get cancer smoking tobacco
I got a chopstick like I’m from Tokyo
I'm making this bread
Yo bitch on my dick then she give me some head
She back on my dick she ride like a sled
I’m not a blood but I wear red
I'm sipping that dirty like water with lead
Fuck Miami and fuck Homestead
Y’all killed them big homies left them niggas dead
I’ll cut you off like some thread
Choppa eat you up like some cornbread
We run in yo house, you under the covers
I don’t work a job but I am plumber
Nigga you're shit, I gotta use a plunger
Shredding yo money with a paper cutter
New Wraith, give a fuck bout the color
Yo bitch was tasty like a Nutter Butter
He smoking the woods he smoking the lumber
He think he is hard like a hurricane shutter
Nigga we playing hide and seek, but I’m gonna find ya, might as well peek
Turn you into yogurt that shit was Greek
I just fucked yo bitch she was a freak
I got the drip, I got a leak
Finna make a mil but my name ain’t Meek
I’m fucking yo bitch, I just made her shriek
I’m making this money, so I hit a tweak
Nigga you lame, you is a geek
Nigga pretty quiet barely ever speak
I'll crack yo bitch, like an antique
You having a kid, pull out game is weak
[Outro]
Bruh, you know that shit fucking slaps
Don't even lie
Don't even lie
You know this shit fucking slaps
Put it on your Mom's life that you don't like this
Put it on your Mom's life that that this didn't slide
I swear to God, this shit fucking slaps
Yung Zyrex
Gang
Gang
Gang, gang, gang
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah yeah, yeah yeah, yeah yeah, yeah yeah, yeah yeah, yeah
Yung Zyrex",5397422,en,en,en
Heaven Tonight,pop,The Nixons,1999,62,{},"Down
The line
Don't go over
There's a limit
You went over some
Much time

Time runs out
Time ran out
Make it down

Would you like to go to heaven tonight?
Would you like to go to heaven tonight?

Ohh, ahh, ohh

Would you like to go to heaven tonight?
Would you like to go to heaven tonight?

Ohh
Down
The line
Couldn't get much
Couldn't get much
Higher if you tried

And try
Try
Your as guilty
Its a crime
Whoa, it's a crime

Would you like to go to heaven tonight?
Would you like to go to heaven tonight?

Ohh, ahh, ohh

Would you like to go to heaven tonight?
Would you like to go to heaven tonight?

Ohh, ahh, ohh

Would you like to go to heaven tonight?
Would you like to go to heaven tonight?

You can never come down
You can never come down
You can never come down
You can never come down
You can never come down
You can never come down
You can never come down
You can never come down
You can never come down
You can never come down

You can never come down
You can never come down
You can never come down
You can never come down
You can never come down

Down
Inside
You're getting nervous
Never been this high before

Ahh

Tonight
Tonight

Heaven tonight",921939,en,en,en
